gene/TE	count	sample
"gene_10176"	31	W12MR1
"gene_10177"	0	W12MR1
"gene_10178"	2	W12MR1
"gene_10179"	0	W12MR1
"gene_1018"	5139	W12MR1
"gene_10180"	3	W12MR1
"gene_10181"	32	W12MR1
"gene_10182"	21	W12MR1
"gene_10183"	171	W12MR1
"gene_10184"	16	W12MR1
"gene_10185"	6	W12MR1
"gene_10186"	0	W12MR1
"gene_10187"	3	W12MR1
"gene_10188"	0	W12MR1
"gene_10189"	1	W12MR1
"gene_1019"	6339	W12MR1
"gene_10190"	56	W12MR1
"gene_10191"	41	W12MR1
"gene_10192"	3	W12MR1
"gene_10193"	0	W12MR1
"gene_10194"	1	W12MR1
"gene_10195"	0	W12MR1
"gene_10196"	4	W12MR1
"gene_10197"	0	W12MR1
"gene_10198"	53	W12MR1
"gene_10199"	5	W12MR1
"gene_102"	0	W12MR1
"gene_1020"	3568	W12MR1
"gene_10200"	102	W12MR1
"gene_10201"	9	W12MR1
"gene_10202"	6	W12MR1
"gene_10203"	75	W12MR1
"gene_10204"	2	W12MR1
"gene_10205"	0	W12MR1
"gene_10206"	0	W12MR1
"gene_10207"	74	W12MR1
"gene_10208"	50	W12MR1
"gene_10209"	1	W12MR1
"gene_1021"	299	W12MR1
"gene_10210"	56	W12MR1
"gene_10211"	9	W12MR1
"gene_10212"	27	W12MR1
"gene_10214"	34	W12MR1
"gene_10215"	3	W12MR1
"gene_10216"	0	W12MR1
"gene_10217"	0	W12MR1
"gene_10218"	0	W12MR1
"gene_10219"	0	W12MR1
"gene_1022"	150	W12MR1
"gene_10220"	0	W12MR1
"gene_10221"	0	W12MR1
"gene_10222"	302	W12MR1
"gene_10223"	10	W12MR1
"gene_10224"	0	W12MR1
"gene_10225"	3	W12MR1
"gene_10226"	9	W12MR1
"gene_10227"	5	W12MR1
"gene_10228"	37	W12MR1
"gene_10229"	26	W12MR1
"gene_1023"	3300	W12MR1
"gene_10230"	6	W12MR1
"gene_10231"	162	W12MR1
"gene_10232"	74	W12MR1
"gene_10233"	12	W12MR1
"gene_10234"	62	W12MR1
"gene_10235"	6	W12MR1
"gene_10236"	54	W12MR1
"gene_10237"	0	W12MR1
"gene_10238"	11	W12MR1
"gene_10239"	4	W12MR1
"gene_1024"	2217	W12MR1
"gene_10240"	3360	W12MR1
"gene_10241"	37	W12MR1
"gene_10242"	3	W12MR1
"gene_10243"	34	W12MR1
"gene_10244"	0	W12MR1
"gene_10245"	4	W12MR1
"gene_10246"	37	W12MR1
"gene_10247"	234	W12MR1
"gene_10248"	144	W12MR1
"gene_10249"	23	W12MR1
"gene_1025"	49	W12MR1
"gene_10250"	9	W12MR1
"gene_10251"	29	W12MR1
"gene_10252"	7	W12MR1
"gene_10253"	30	W12MR1
"gene_10254"	7	W12MR1
"gene_10255"	0	W12MR1
"gene_10256"	0	W12MR1
"gene_10257"	5	W12MR1
"gene_10258"	13	W12MR1
"gene_10259"	748	W12MR1
"gene_1026"	3860	W12MR1
"gene_10260"	86	W12MR1
"gene_10261"	0	W12MR1
"gene_10262"	0	W12MR1
"gene_10263"	48	W12MR1
"gene_10264"	3	W12MR1
"gene_10265"	3	W12MR1
"gene_10266"	0	W12MR1
"gene_10267"	29	W12MR1
"gene_10268"	0	W12MR1
"gene_10269"	0	W12MR1
"gene_1027"	5899	W12MR1
"gene_10270"	8	W12MR1
"gene_10271"	4	W12MR1
"gene_10272"	66	W12MR1
"gene_10273"	283	W12MR1
"gene_10274"	0	W12MR1
"gene_10275"	14	W12MR1
"gene_10276"	101	W12MR1
"gene_10277"	2127	W12MR1
"gene_10278"	307	W12MR1
"gene_1028"	261	W12MR1
"gene_10280"	558	W12MR1
"gene_10281"	6615	W12MR1
"gene_10282"	4	W12MR1
"gene_10283"	8	W12MR1
"gene_10284"	0	W12MR1
"gene_10285"	0	W12MR1
"gene_10286"	195	W12MR1
"gene_10287"	2	W12MR1
"gene_10288"	4	W12MR1
"gene_10289"	5	W12MR1
"gene_1029"	1116	W12MR1
"gene_10290"	1	W12MR1
"gene_10291"	43	W12MR1
"gene_10292"	39	W12MR1
"gene_10293"	65	W12MR1
"gene_10294"	464	W12MR1
"gene_10295"	1	W12MR1
"gene_10296"	9	W12MR1
"gene_10297"	0	W12MR1
"gene_10298"	63	W12MR1
"gene_10299"	15	W12MR1
"gene_1030"	719	W12MR1
"gene_10300"	6	W12MR1
"gene_10301"	39	W12MR1
"gene_10302"	10	W12MR1
"gene_10303"	0	W12MR1
"gene_10304"	0	W12MR1
"gene_10305"	5	W12MR1
"gene_10306"	0	W12MR1
"gene_10307"	0	W12MR1
"gene_10308"	17	W12MR1
"gene_10309"	10	W12MR1
"gene_1031"	393	W12MR1
"gene_10310"	1	W12MR1
"gene_10311"	5	W12MR1
"gene_10312"	0	W12MR1
"gene_10313"	1	W12MR1
"gene_10314"	0	W12MR1
"gene_10315"	25	W12MR1
"gene_10316"	0	W12MR1
"gene_10317"	165	W12MR1
"gene_10318"	56	W12MR1
"gene_10319"	2	W12MR1
"gene_1032"	6506	W12MR1
"gene_10320"	0	W12MR1
"gene_10321"	3	W12MR1
"gene_10322"	0	W12MR1
"gene_10323"	0	W12MR1
"gene_10324"	8	W12MR1
"gene_10325"	54	W12MR1
"gene_10326"	0	W12MR1
"gene_10327"	4	W12MR1
"gene_10328"	0	W12MR1
"gene_10329"	5	W12MR1
"gene_1033"	1471	W12MR1
"gene_10330"	0	W12MR1
"gene_10331"	1	W12MR1
"gene_10332"	0	W12MR1
"gene_10333"	0	W12MR1
"gene_10334"	0	W12MR1
"gene_10335"	20	W12MR1
"gene_10336"	2859	W12MR1
